楼栋,房号,楼层,建筑面积,单价,总价,更新日期,已售
1,0301,3,147.3,6372.0,938595.6,26年03月21日,未网签
1,0302,3,147.3,7132.99,1050689.4,24年09月25日,已备案
1,0303,3,125.67,8249.0,1036651.8,24年03月13日,已备案
1,0304,3,125.67,8362.0,1050852.5,24年03月13日,已备案
1,0401,4,147.3,6441.0,948759.3,26年03月21日,未网签
1,0402,4,147.3,7212.52,1062404.8,24年12月17日,已备案
1,0403,4,125.67,7923.0,995683.44,26年03月21日,已网签
1,0404,4,125.67,8453.0,1062288.5,24年03月13日,已备案
1,0501,5,147.3,8658.0,1275323.4,24年03月13日,已备案
1,0502,5,147.3,7292.06,1074120.1,24年06月20日,已备案
1,0503,5,125.67,8430.0,1059398.1,24年03月13日,已备案
1,0504,5,125.67,8544.0,1073724.5,24年03月13日,已备案
1,0601,6,147.3,8749.0,1288727.8,24年03月13日,已备案
1,0602,6,147.3,7371.59,1085835.5,24年05月17日,已备案
1,0603,6,125.67,8521.0,1070834.1,24年03月13日,已备案
1,0604,6,125.67,8635.0,1085160.5,24年03月13日,已备案
1,0701,7,147.3,8840.0,1302132.0,24年03月13日,已备案
1,0702,7,147.3,8499.0,1251902.8,24年03月13日,已备案
1,0703,7,125.67,8612.0,1082270.0,24年03月13日,已备案
1,0704,7,125.67,8726.0,1096596.4,24年03月13日,已备案
1,0801,8,147.3,8930.0,1315389.0,24年03月13日,已备案
1,0802,8,147.3,7530.66,1109266.2,24年06月29日,已备案
1,0803,8,125.67,8703.0,1093706.0,24年03月13日,已备案
1,0804,8,125.67,8817.0,1108032.4,24年03月13日,已备案
1,0901,9,147.3,9021.0,1328793.2,24年03月13日,已备案
1,0902,9,147.3,6498.0,1011569.7,25年06月19日,已备案
1,0903,9,125.67,7938.0,997568.44,26年03月21日,未网签
1,0904,9,125.67,8908.0,1119468.4,24年03月13日,已备案
1,1001,10,147.3,9112.0,1342197.6,24年03月13日,已备案
1,1002,10,147.3,7688.85,1132568.2,24年09月07日,已备案
1,1003,10,125.67,8885.0,1116578.0,24年03月13日,已备案
1,1004,10,125.67,8999.0,1130904.4,24年03月13日,已备案
1,1101,11,147.3,9203.0,1355601.9,24年03月13日,已备案
1,1102,11,147.3,7768.39,1144283.5,24年06月07日,已备案
1,1103,11,125.67,8976.0,1128013.9,24年03月13日,已备案
1,1104,11,125.67,9090.0,1142340.2,24年03月13日,已备案
1,1201,12,147.3,9294.0,1369006.2,24年03月13日,已备案
1,1202,12,147.3,6730.0,991329.0,26年03月21日,未网签
1,1203,12,125.67,9067.0,1139449.9,24年03月13日,已备案
1,1204,12,125.67,9180.0,1153650.6,24年03月13日,已备案
1,1301,13,147.3,9521.0,1402443.2,24年03月13日,已备案
1,1302,13,147.3,6781.0,998841.3,25年10月28日,已备案
1,1303,13,125.67,8389.0,1054245.6,26年03月21日,未网签
1,1304,13,125.67,9408.0,1182303.4,24年03月13日,已备案
1,1401,14,147.3,6815.3,1003893.7,25年06月24日,已备案
1,1402,14,147.3,8006.99,1179429.6,25年10月24日,已备案
1,1403,14,125.67,6579.5,826845.25,25年09月30日,已备案
1,1404,14,125.67,8543.63,1073677.5,24年12月11日,已备案
1,1501,15,147.3,10203.0,1502901.9,24年03月13日,已备案
1,1502,15,147.3,6935.0,1021525.5,26年03月21日,未网签
1,1503,15,125.67,7890.0,991536.3,26年03月21日,未网签
1,1504,15,125.67,8841.66,1111131.4,24年10月18日,已备案
1,1701,17,147.3,8563.0,1261329.9,26年03月21日,未网签
1,1702,17,147.3,7059.0,1039790.7,24年11月29日,已备案
1,1703,17,125.67,7153.5,898980.4,25年03月01日,已备案
1,1704,17,125.67,7510.0,943781.7,24年12月11日,已备案
1,1801,18,147.3,7718.75,1136971.9,25年01月01日,已备案
1,1802,18,147.3,6886.0,1014307.7,25年02月26日,已备案
1,1803,18,125.67,8429.0,1059272.4,26年03月21日,未网签
1,1804,18,125.67,6505.0,817483.4,25年11月11日,已备案
1,1901,19,147.3,9586.31,1412063.1,24年10月15日,已备案
1,1902,19,147.3,7071.8,1041676.1,24年12月05日,已备案
1,1903,19,125.67,7171.27,1064750.2,25年04月12日,已备案
1,1904,19,125.67,7245.65,910560.8,25年03月19日,已备案
1,2001,20,147.3,7786.2,1146907.2,24年12月21日,已备案
1,2002,20,147.3,7108.85,1047133.6,24年12月18日,已备案
